material,orderlimit,Var_qty,bo_qty,diff
AC01,6,201.4989591775574,26.124172185430467,175.37478699212693
AC01,12,158.28443799088922,26.124172185430467,132.16026580545875
AC01,18,135.9355849753406,26.124172185430467,109.81141278991012
AC01,24,116.24303566958508,26.124172185430467,90.11886348415462
AC01,30,98.52569575770642,26.124172185430467,72.40152357227595
AC01,36,82.38240948239118,26.124172185430467,56.258237296960715
AC01,42,67.54810655624698,26.124172185430467,41.42393437081651
AC01,48,53.83439071478344,26.124172185430467,27.71021852935297
AC01,54,44.338161978448554,26.124172185430467,18.213989793018087
AK104,2,3521.176550800405,10356.911387163562,6835.734836363157
AK104,4,1424.283997475201,10356.911387163562,8932.627389688361
AK104,6,1033.2325274593259,10356.911387163562,9323.678859704236
AK104,8,892.9389650298137,10356.911387163562,9463.972422133747
AK104,10,787.6121391864942,10356.911387163562,9569.299247977067
AK104,12,700.5436645575112,10356.911387163562,9656.36772260605
AK104,14,650.795063299649,10356.911387163562,9706.116323863913
AK104,16,604.034694267602,10356.911387163562,9752.87669289596
AK104,18,559.886920748321,10356.911387163562,9797.024466415241
ALU02,12,1140.905672782118,1675.955,535.0493272178819
ALU02,24,694.0248612975931,1675.955,981.9301387024068
ALU02,36,472.1622837924848,1675.955,1203.7927162075152
ALU02,48,317.5026614384874,1675.955,1358.4523385615125
ALU02,60,221.0243346029431,1675.955,1454.9306653970568
ALU02,72,135.03969867782166,1675.955,1540.9153013221783
ALU02,84,64.15808808486872,1675.955,1611.7969119151312
ALU02,96,0.0,1675.955,1675.955
ALU02,108,0.0,1675.955,1675.955
ALU03,12,1983.799127036643,1030.2933333333333,953.5057937033098
ALU03,24,1355.4072881416123,1030.2933333333333,325.113954808279
ALU03,36,1063.593065362532,1030.2933333333333,33.299732029198594
ALU03,48,858.0711555796136,1030.2933333333333,172.22217775371973
ALU03,60,694.8079561817676,1030.2933333333333,335.4853771515657
ALU03,72,553.5842434341268,1030.2933333333333,476.70908989920645
ALU03,84,443.70711762516794,1030.2933333333333,586.5862157081654
ALU03,96,342.0476304372005,1030.2933333333333,688.2457028961328
ALU03,108,247.5727809093396,1030.2933333333333,782.7205524239937
BGL311,4,32801.20179100757,79429.74889705882,46628.54710605125
BGL311,8,13516.25537215183,79429.74889705882,65913.49352490698
BGL311,12,6778.198234794571,79429.74889705882,72651.55066226424
BGL311,16,4844.345791808575,79429.74889705882,74585.40310525024
BGL311,20,3455.0043594348376,79429.74889705882,75974.74453762398
BGL311,24,2360.9437937584325,79429.74889705882,77068.80510330039
BGL311,28,1938.9521140788988,79429.74889705882,77490.79678297992
BGL311,32,1558.9060583744897,79429.74889705882,77870.84283868433
BGL311,36,1213.6386483007284,79429.74889705882,78216.1102487581
BGL506,4,22254.677554802845,122738.7245792079,100484.04702440507
BGL506,8,10027.494732622186,122738.7245792079,112711.22984658572
BGL506,12,6693.944332597666,122738.7245792079,116044.78024661024
BGL506,16,5861.039542134368,122738.7245792079,116877.68503707353
BGL506,20,5215.1136747571245,122738.7245792079,117523.61090445078
BGL506,24,4657.695543677716,122738.7245792079,118081.02903553018
BGL506,28,4327.978160278195,122738.7245792079,118410.74641892972
BGL506,32,4019.427421811531,122738.7245792079,118719.29715739637
BGL506,36,3731.5410774188535,122738.7245792079,119007.18350178906
BH02,6,609.9092266680286,235.47333333333333,374.43589333469527
BH02,12,224.86904891331824,235.47333333333333,10.604284420015091
BH02,18,153.84821331501132,235.47333333333333,81.62512001832201
BH02,24,120.12065883687612,235.47333333333333,115.35267449645721
BH02,30,97.18732549730365,235.47333333333333,138.28600783602968
BH02,36,86.32584031219335,235.47333333333333,149.14749302113998
BH02,42,79.52524552871134,235.47333333333333,155.948087804622
