material,unit_qty,total_qty,order#,ip,mtrl_total_qty,cumsumqty,prop,cumsum_prop,orderlimit,unit_qty2,order#2,total_qty2,Var_qty
AC01,72.0,72.0,1.0,6.0,1038.0,936.0,0.06936416184971098,0.9017341040462428,18,18.0,1.6020599913279623,28.83707984390332,43.162920156096675
AC01,102.0,102.0,1.0,6.0,1038.0,1038.0,0.09826589595375723,1.0,18,18.0,1.7533276666586115,31.559897999855007,70.44010200014499
AC01,6.0,768.0,128.0,6.0,1038.0,768.0,0.7398843930635838,0.7398843930635838,24,6.0,128.0,768.0,0.0
AC01,12.0,48.0,4.0,6.0,1038.0,816.0,0.046242774566473986,0.7861271676300579,24,12.0,4.0,48.0,0.0
AC01,48.0,48.0,1.0,6.0,1038.0,864.0,0.046242774566473986,0.8323699421965318,24,24.0,1.3010299956639813,31.22471989593555,16.77528010406445
AC01,72.0,72.0,1.0,6.0,1038.0,936.0,0.06936416184971098,0.9017341040462428,24,24.0,1.4771212547196624,35.450910113271895,36.549089886728105
AC01,102.0,102.0,1.0,6.0,1038.0,1038.0,0.09826589595375723,1.0,24,24.0,1.6283889300503116,39.08133432120748,62.91866567879252
AC01,6.0,768.0,128.0,6.0,1038.0,768.0,0.7398843930635838,0.7398843930635838,30,6.0,128.0,768.0,0.0
AC01,12.0,48.0,4.0,6.0,1038.0,816.0,0.046242774566473986,0.7861271676300579,30,12.0,4.0,48.0,0.0
AC01,48.0,48.0,1.0,6.0,1038.0,864.0,0.046242774566473986,0.8323699421965318,30,30.0,1.2041199826559248,36.12359947967774,11.876400520322257
AC01,72.0,72.0,1.0,6.0,1038.0,936.0,0.06936416184971098,0.9017341040462428,30,30.0,1.380211241711606,41.40633725134818,30.593662748651823
AC01,102.0,102.0,1.0,6.0,1038.0,1038.0,0.09826589595375723,1.0,30,30.0,1.5314789170422551,45.94436751126766,56.05563248873234
AC01,6.0,768.0,128.0,6.0,1038.0,768.0,0.7398843930635838,0.7398843930635838,36,6.0,128.0,768.0,0.0
AC01,12.0,48.0,4.0,6.0,1038.0,816.0,0.046242774566473986,0.7861271676300579,36,12.0,4.0,48.0,0.0
AC01,48.0,48.0,1.0,6.0,1038.0,864.0,0.046242774566473986,0.8323699421965318,36,36.0,1.1249387366083,40.4977945178988,7.502205482101203
AC01,72.0,72.0,1.0,6.0,1038.0,936.0,0.06936416184971098,0.9017341040462428,36,36.0,1.3010299956639813,46.837079843903325,25.162920156096675
AC01,102.0,102.0,1.0,6.0,1038.0,1038.0,0.09826589595375723,1.0,36,36.0,1.4522976709946303,52.28271615580669,49.71728384419331
AC01,6.0,768.0,128.0,6.0,1038.0,768.0,0.7398843930635838,0.7398843930635838,42,6.0,128.0,768.0,0.0
AC01,12.0,48.0,4.0,6.0,1038.0,816.0,0.046242774566473986,0.7861271676300579,42,12.0,4.0,48.0,0.0
AC01,48.0,48.0,1.0,6.0,1038.0,864.0,0.046242774566473986,0.8323699421965318,42,42.0,1.0579919469776868,44.43566177306285,3.564338226937153
