diff
54
2
12
36
4
4
12
6
18
18
4
4
42
4
5
4
4
4
4
2
4
6
6
4
4
4
2
4
2
2
6
9
8
6
108
6
6
12
24
6
108
9
6
6
12
12
6
12
6
24
12
24
12
18
54
48
12
6
6
6
12
108
108
12
6
12
12
12
6
12
12
6
6
6
6
6
6
9
3
3
2
36
6
6
3
3
3
3
9
3
6
6
6
6
6
6
6
3
6
3
6
3
3
8
3
3
6
6
6
6
6
18
6
18
6
6
6
3
3
3
3
21
3
3
3
6
3
9
3
12
30
54
9
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
108
12
